Form,Meaning,ID,Count,% Sa,% Words
a,be-1,be_1,49,0.3006134969325153,0.04579439252336449
eʃi,be-2,be_2,30,0.18404907975460122,0.028037383177570093
ka,say,say,26,0.15950920245398773,0.024299065420560748
ɨto,go,go,23,0.1411042944785276,0.02149532710280374
oepɨ,come,come,13,0.07975460122699386,0.012149532710280374
e-poreʔka,arrive,reg-sa,3,0.018404907975460124,0.002803738317757009
ot-urupo,ask,reg-sa,2,0.012269938650306749,0.001869158878504673
ot-uʔ,eat,reg-sa,2,0.012269938650306749,0.001869158878504673
os-enakũnuʔ,choke,reg-sa,2,0.012269938650306749,0.001869158878504673
e-unopɨ,laugh,reg-sa,1,0.006134969325153374,0.0009345794392523365
at-akĩma,pack bags,reg-sa,1,0.006134969325153374,0.0009345794392523365
at-ankɨema,be happy,reg-sa,1,0.006134969325153374,0.0009345794392523365
os-ereh,be_amazed,reg-sa,1,0.006134969325153374,0.0009345794392523365
e-metɨka,lose loincloth,reg-sa,1,0.006134969325153374,0.0009345794392523365
e-tuarima,suffer,reg-sa,1,0.006134969325153374,0.0009345794392523365
e-puka,fall,reg-sa,1,0.006134969325153374,0.0009345794392523365
os-eporɨ,meet,reg-sa,1,0.006134969325153374,0.0009345794392523365
ot-ɨrɨʔka,land,reg-sa,1,0.006134969325153374,0.0009345794392523365
ot-ɨʔka,finish,reg-sa,1,0.006134969325153374,0.0009345794392523365
ot-uru,talk,reg-sa,1,0.006134969325153374,0.0009345794392523365
at-apiaka,divide_up,reg-sa,1,0.006134969325153374,0.0009345794392523365
e-sɨrɨʔma,move,reg-sa,1,0.006134969325153374,0.0009345794392523365
