ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment
aku_form_0_1,aku_form_0,1t,1,t͡ʃ
aku_form_0_2,aku_form_0,DETRZ1,2,e - -
aku_form_0_3,aku_form_0,bathe_1,3,- p ɨ
aku_form_1_1,aku_form_1,1t,1,t͡ʃ
aku_form_2_1,aku_form_2,1w,1,
aku_form_2_2,aku_form_2,be_1,2,a - -
aku_form_3_1,aku_form_3,1w,1,
aku_form_3_2,aku_form_3,be_2,2,e ʔ i
aku_form_4_1,aku_form_4,1w,1,
aku_form_4_2,aku_form_4,DETRZ,2,ee -
aku_form_4_3,aku_form_4,come,3,- - - p ɨ
aku_form_5_1,aku_form_5,k,1,k -
aku_form_6_1,aku_form_6,k,1,k -
aku_form_7_1,aku_form_7,1w,1,- ə
aku_form_7_2,aku_form_7,go,2,- t ə m ɨ
aku_form_8_1,aku_form_8,tri1p,1,p
aku_form_8_2,aku_form_8,go_down,2,- - ɨ - - t ə
aku_form_9_1,aku_form_9,k,1,k -
aku_form_10_1,aku_form_10,1t,1,t͡ʃ
aku_form_11_1,aku_form_11,k,1,k -
aku_form_12_1,aku_form_12,1w,1,w ɨ
aku_form_12_2,aku_form_12,say,2,k a - - -
aku_form_13_1,aku_form_13,1t,1,t͡ʃ
aku_form_14_1,aku_form_14,k,1,k -
aku_form_14_2,aku_form_14,DETRZ,2,əə -
aku_form_14_3,aku_form_14,sleep,3,n ɨ - k ɨ
aku_form_15_1,aku_form_15,1t,1,t͡ʃ
aku_form_16_1,aku_form_16,k,1,k -
aku_form_17_1,aku_form_17,k,1,k -
aku_form_18_1,aku_form_18,1t,1,t͡ʃ
ara_form_19_1,ara_form_19,1w,1,w -
ara_form_19_2,ara_form_19,DETRZ1,2,i - -
ara_form_19_3,ara_form_19,bathe_1,3,- b ɨ
ara_form_20_1,ara_form_20,1w,1,w -
ara_form_20_2,ara_form_20,be_2,2,i t͡ʃ i
ara_form_21_1,ara_form_21,1w,1,w -
ara_form_21_2,ara_form_21,be_1,2,a p -
ara_form_22_1,ara_form_22,1w,1,w -
ara_form_22_2,ara_form_22,come,2,- - e b ɨ
ara_form_23_1,ara_form_23,k,1,k -
ara_form_24_1,ara_form_24,1w,1,w -
ara_form_24_2,ara_form_24,go,2,ɨ d o - -
e_form_25_1,e_form_25,1w,1,w -
e_form_25_2,e_form_25,go_down,2,- - i p - t o
ara_form_26_1,ara_form_26,1w,1,w ɨ
ara_form_26_2,ara_form_26,say,2,g e - - -
ebak_form_27_1,ebak_form_27,1w,1,w -
ebak_form_27_2,ebak_form_27,DETRZ1,2,i - -
bak_form_28_1,bak_form_28,1w,1,w -
bak_form_28_2,bak_form_28,be_1,2,a - -
bak_form_29_1,bak_form_29,1w,1,w -
bak_form_29_2,bak_form_29,be_2,2,i - -
bak_form_30_1,bak_form_30,k,1,k -
bak_form_30_2,bak_form_30,DETRZ,2,ə -
bak_form_30_3,bak_form_30,come,3,- - e w ɨ
bak_form_31_1,bak_form_31,1w,1,- u
bak_form_31_2,bak_form_31,go,2,- t ə - -
bak_form_32_1,bak_form_32,k,1,k -
bak_form_32_2,bak_form_32,go_down,2,- - ɨ - - t ə
ebak_form_33_1,ebak_form_33,k,1,k -
bak_form_34_1,bak_form_34,1w,1,- u
bak_form_34_2,bak_form_34,say,2,g e - - -
car_form_35_1,car_form_35,1p,1,j i
car_form_36_1,car_form_36,1w,1,
car_form_36_2,car_form_36,DETRZ1,2,e - -
car_form_36_3,car_form_36,bathe_1,3,- h ɨ
car_form_37_1,car_form_37,1p,1,j -
car_form_37_2,car_form_37,be_2,2,e t͡ʃ i
car_form_38_1,car_form_38,1w,1,w -
car_form_38_2,car_form_38,be_1,2,a - -
car_form_39_1,car_form_39,1p,1,j -
car_form_39_2,car_form_39,come,2,- - e h -
car_form_40_1,car_form_40,1p,1,j -
car_form_41_1,car_form_41,1w,1,w ɨ
car_form_41_2,car_form_41,go,2,- t ə m ə
car_form_42_1,car_form_42,1p,1,j -
car_form_42_2,car_form_42,go_down,2,- - e h ɨ t ə
car_form_43_1,car_form_43,1w,1,
car_form_43_2,car_form_43,say,2,k a - - -
hix_form_44_1,hix_form_44,k,1,k -
hix_form_44_2,hix_form_44,DETRZ1,2,e w e
hix_form_44_3,hix_form_44,bathe_1,3,- h ɨ
hix_form_45_1,hix_form_45,1w,1,w -
hix_form_45_2,hix_form_45,be_1,2,a h -
hix_form_46_1,hix_form_46,1w,1,w -
hix_form_46_2,hix_form_46,be_2,2,e ʃ e
hix_form_47_1,hix_form_47,k,1,k -
hix_form_48_1,hix_form_48,k,1,k -
hix_form_49_1,hix_form_49,k,1,k -
hix_form_50_1,hix_form_50,1w,1,- ɨ
hix_form_50_2,hix_form_50,go,2,- t o - -
hix_form_52_1,hix_form_52,1w,1,- ɨ
hix_form_52_2,hix_form_52,say,2,k a - - -
hix_form_53_1,hix_form_53,k,1,k ɨ
hix_form_54_1,hix_form_54,k,1,k -
ikp_form_55_1,ikp_form_55,1w,1,
ikp_form_55_2,ikp_form_55,DETRZ1,2,i - -
ikp_form_55_3,ikp_form_55,bathe_1,3,- p -
ikp_form_56_1,ikp_form_56,1w,1,
ikp_form_56_2,ikp_form_56,be_2,2,e t͡ʃ i
ikp_form_58_1,ikp_form_58,k,1,k -
ikp_form_58_2,ikp_form_58,DETRZ,2,a r
ikp_form_58_3,ikp_form_58,come,3,- - e p -
ikp_form_59_1,ikp_form_59,k,1,k -
ikp_form_59_2,ikp_form_59,go,2,a r a n -
ikp_form_60_1,ikp_form_60,k,1,k -
ikp_form_61_1,ikp_form_61,1w,1,- ɨ
ikp_form_61_2,ikp_form_61,say,2,g e - - -
kar_form_62_1,kar_form_62,1w,1,w -
kar_form_62_2,kar_form_62,DETRZ,2,o -
kar_form_62_3,kar_form_62,come,3,- - - p ɨ
kar_form_63_1,kar_form_63,1w,1,w ɨ
kar_form_63_2,kar_form_63,go,2,- - - ʔ -
kar_form_64_1,kar_form_64,1w,1,
kar_form_64_2,kar_form_64,say,2,k a - - -
kax_form_65_1,kax_form_65,1w,1,w -
kax_form_65_2,kax_form_65,DETRZ,2,oo -
kax_form_65_3,kax_form_65,come,3,- - - h ɨ
mak_form_66_1,mak_form_66,1w,1,w -
mak_form_67_1,mak_form_67,1w,1,w -
mak_form_67_2,mak_form_67,be_2,2,e - i
mak_form_68_1,mak_form_68,1w,1,w -
mak_form_68_2,mak_form_68,come,2,- - e h ə
mak_form_69_1,mak_form_69,1w,1,w -
mak_form_70_1,mak_form_70,1w,1,w -
mak_form_70_2,mak_form_70,go,2,ɨ t ə - -
PPek_form_71_1,PPek_form_71,1w,1,w -
PPek_form_71_2,PPek_form_71,DETRZ1,2,i - -
PPek_form_71_3,PPek_form_71,bathe_1,3,- p ɨ
PPek_form_72_1,PPek_form_72,1w,1,w -
PPek_form_72_2,PPek_form_72,be_1,2,a p -
PPek_form_73_1,PPek_form_73,1w,1,w -
PPek_form_73_2,PPek_form_73,be_2,2,e t͡ʃ i
PPek_form_74_1,PPek_form_74,1w,1,w -
PPek_form_74_2,PPek_form_74,come,2,- - e p ɨ
PPek_form_75_1,PPek_form_75,1w,1,w -
PPek_form_75_2,PPek_form_75,go,2,ɨ t ə n -
PPek_form_76_1,PPek_form_76,1w,1,w -
PPek_form_76_2,PPek_form_76,go_down,2,- - ɨ p - t ə
PPek_form_77_1,PPek_form_77,1w,1,w ɨ
PPek_form_77_2,PPek_form_77,say,2,g e - - -
PTir_form_78_1,PTir_form_78,1t,1,t͡ʃ
PTir_form_78_2,PTir_form_78,DETRZ1,2,e - -
PTir_form_78_3,PTir_form_78,bathe_1,3,- p ɨ
PTir_form_79_1,PTir_form_79,1w,1,w -
PTir_form_79_2,PTir_form_79,be_1,2,a - -
PTir_form_80_1,PTir_form_80,1w,1,w -
PTir_form_80_2,PTir_form_80,be_2,2,e ʔ i
PTir_form_81_1,PTir_form_81,1w,1,w -
PTir_form_81_2,PTir_form_81,DETRZ,2,ə ʔ
PTir_form_81_3,PTir_form_81,come,3,- - e p ɨ
PTir_form_82_1,PTir_form_82,1w,1,w -
PTir_form_82_2,PTir_form_82,go,2,ɨ t ə m ɨ
PTir_form_83_1,PTir_form_83,tri1p,1,p
PTir_form_83_2,PTir_form_83,go_down,2,- - ɨ h - t ə
PTir_form_84_1,PTir_form_84,1w,1,w ɨ
PTir_form_84_2,PTir_form_84,say,2,k a - - -
PTir_form_85_1,PTir_form_85,1t,1,t
PTir_form_85_2,PTir_form_85,DETRZ,2,əə -
PTir_form_85_3,PTir_form_85,sleep,3,n ɨ - k ɨ
PWai_form_86_1,PWai_form_86,k,1,k -
PWai_form_86_2,PWai_form_86,DETRZ1,2,ee - -
PWai_form_86_3,PWai_form_86,bathe_1,3,- ɸ ɨ
PWai_form_87_1,PWai_form_87,1w,1,w -
PWai_form_87_2,PWai_form_87,be_2,2,e ʃ i
PWai_form_88_1,PWai_form_88,1w,1,w -
PWai_form_88_2,PWai_form_88,be_1,2,a h -
PWai_form_89_1,PWai_form_89,k,1,k -
PWai_form_90_1,PWai_form_90,1w,1,w ɨ
PWai_form_90_2,PWai_form_90,go,2,- t o m -
PWai_form_92_1,PWai_form_92,1w,1,w ɨ
PWai_form_92_2,PWai_form_92,say,2,k a - - -
PWai_form_93_1,PWai_form_93,k,1,k ɨ
tri_form_94_1,tri_form_94,1t,1,s
tri_form_94_2,tri_form_94,DETRZ1,2,e - -
tri_form_94_3,tri_form_94,bathe_1,3,- p ɨ
tri_form_95_1,tri_form_95,1w,1,w -
tri_form_95_2,tri_form_95,be_1,2,a - -
tri_form_96_1,tri_form_96,1w,1,w -
tri_form_96_2,tri_form_96,be_2,2,e - i
tri_form_97_1,tri_form_97,1w,1,w -
tri_form_97_2,tri_form_97,DETRZ,2,ə -
tri_form_97_3,tri_form_97,come,3,- - e p ɨ
tri_form_98_1,tri_form_98,1w,1,w ɨ
tri_form_98_2,tri_form_98,go,2,- t ə n -
tri_form_99_1,tri_form_99,tri1p,1,p
tri_form_99_2,tri_form_99,go_down,2,- - ɨ h - t ə
tri_form_100_1,tri_form_100,1w,1,w ɨ
tri_form_100_2,tri_form_100,say,2,k a - - -
tri_form_101_1,tri_form_101,1t,1,t
tri_form_102_1,tri_form_102,1t,1,t
tri_form_102_2,tri_form_102,DETRZ,2,əə -
tri_form_102_3,tri_form_102,sleep,3,n ɨ - k ɨ
tri_form_103_1,tri_form_103,1t,1,t
tri_form_104_1,tri_form_104,1t,1,s
wai_form_105_1,wai_form_105,k,1,k -
wai_form_105_2,wai_form_105,DETRZ1,2,e j e
wai_form_105_3,wai_form_105,bathe_1,3,- ɸ u
wai_form_106_1,wai_form_106,1w,1,w -
wai_form_106_2,wai_form_106,be_1,2,a - -
wai_form_107_1,wai_form_107,1w,1,w -
wai_form_107_2,wai_form_107,be_2,2,ee ʃ i
wai_form_108_1,wai_form_108,k,1,k -
wai_form_109_1,wai_form_109,k,1,k ɨ
wai_form_109_2,wai_form_109,1w,2,w -
wai_form_109_3,wai_form_109,go,3,- t o m -
wai_form_111_1,wai_form_111,1w,1,w ɨ
wai_form_111_2,wai_form_111,say,2,k a - - -
wai_form_112_1,wai_form_112,k,1,k ɨ
way_form_113_1,way_form_113,1w,1,w ɨ
way_form_113_2,way_form_113,go,2,- t ə m -
way_form_114_1,way_form_114,1w,1,w ɨ
way_form_114_2,way_form_114,say,2,k a - - -
way_form_115_1,way_form_115,1w,1,w -
yuk_form_116_1,yuk_form_116,1p,1,j -
yuk_form_116_2,yuk_form_116,be_1,2,a - -
yuk_form_117_1,yuk_form_117,1p,1,j -
yuk_form_117_2,yuk_form_117,be_2,2,e - -
yuk_form_118_1,yuk_form_118,1p,1,j -
yuk_form_119_1,yuk_form_119,1w,1,
yuk_form_119_2,yuk_form_119,go,2,- t o - -
yuk_form_120_1,yuk_form_120,1p,1,j -
yuk_form_120_2,yuk_form_120,go_down,2,- - e w - t u
yuk_form_122_1,yuk_form_122,1p,1,j ɨ
yuk_form_123_1,yuk_form_123,1p,1,j -
ebak_form_124_1,ebak_form_124,1w,1,- u
ebak_form_124_2,ebak_form_124,go,2,- d ə - -
wbak_form_125_1,wbak_form_125,1w,1,- u
wbak_form_125_2,wbak_form_125,go,2,- d ə - -
wbak_form_126_1,wbak_form_126,1w,1,- u
wbak_form_126_2,wbak_form_126,go,2,- g u - e
ebak_form_127_1,ebak_form_127,1w,1,- u
ebak_form_127_2,ebak_form_127,go,2,- g u - e
ebak_form_128_1,ebak_form_128,1w,1,- u
ebak_form_128_2,ebak_form_128,go,2,- g e - -
wbak_form_129_1,wbak_form_129,k,1,k -
wbak_form_129_2,wbak_form_129,come,2,ə - e w ə
ebak_form_130_1,ebak_form_130,k,1,k -
ebak_form_130_2,ebak_form_130,come,2,ə - e w ɨ
ikp_form_131_1,ikp_form_131,1w,1,
ikp_form_131_2,ikp_form_131,go_down,2,- - i p - t o
mac_stem_0_1,mac_stem_0,come,1,- - i p ɨ
pem_stem_1_1,pem_stem_1,come,1,- j e p ɨ
aka_stem_2_1,aka_stem_2,come,1,- j e p ɨ
ing_stem_3_1,ing_stem_3,come,1,- j e p ə
ing_stem_4_1,ing_stem_4,come,1,- j ə - -
kax_stem_5_1,kax_stem_5,come,1,- j o h ɨ
pat_stem_6_1,pat_stem_6,come,1,- j ə p ɨ
pat_stem_7_1,pat_stem_7,come,1,- j e p ɨ
mak_stem_8_1,mak_stem_8,come,1,- - e h ə
car_stem_9_1,car_stem_9,come,1,- - e h ɨ
aku_stem_10_1,aku_stem_10,DETRZ,1,ee -
aku_stem_10_2,aku_stem_10,come,2,- - - p ɨ
map_stem_11_1,map_stem_11,come,1,- - e p ɨ
kax_stem_12_1,kax_stem_12,come,1,- - e h ɨ
tri_stem_13_1,tri_stem_13,come,1,- - e p ɨ
ara_stem_14_1,ara_stem_14,come,1,- - e b ɨ
apa_stem_15_1,apa_stem_15,DETRZ,1,o -
apa_stem_15_2,apa_stem_15,come,2,- - e p ɨ
tri_stem_16_1,tri_stem_16,DETRZ,1,ə -
tri_stem_16_2,tri_stem_16,come,2,- - e p ɨ
ikp_stem_17_1,ikp_stem_17,DETRZ,1,a r
ikp_stem_17_2,ikp_stem_17,come,2,- - e p -
ara_stem_18_1,ara_stem_18,DETRZ,1,o d
ara_stem_18_2,ara_stem_18,come,2,- - e b ɨ
aka_stem_19_1,aka_stem_19,DETRZ,1,ə s
aka_stem_19_2,aka_stem_19,come,2,- - i p ɨ
ebak_stem_20_1,ebak_stem_20,DETRZ,1,ə -
ebak_stem_20_2,ebak_stem_20,come,2,- - e w ɨ
wbak_stem_21_1,wbak_stem_21,DETRZ,1,ə -
wbak_stem_21_2,wbak_stem_21,come,2,- - e w ə
pan_stem_22_1,pan_stem_22,DETRZ,1,əə -
pan_stem_22_2,pan_stem_22,come,2,- - - p ɨ
yab_stem_23_1,yab_stem_23,DETRZ,1,əə -
yab_stem_23_2,yab_stem_23,come,2,- - - p ɨ
yab_stem_24_1,yab_stem_24,come,1,- - e p ɨ
kar_stem_25_1,kar_stem_25,DETRZ,1,oo -
kar_stem_25_2,kar_stem_25,come,2,- - - p ɨ
uxc_stem_26_1,uxc_stem_26,DETRZ,1,ee -
kax_stem_27_1,kax_stem_27,DETRZ,1,oo -
kax_stem_27_2,kax_stem_27,come,2,- - - h ɨ
ing_stem_28_1,ing_stem_28,go,1,ə t ə - -
tri_stem_29_1,tri_stem_29,go,1,- t ə n -
way_stem_30_1,way_stem_30,go,1,ɨ t ə m -
aku_stem_31_1,aku_stem_31,go,1,ə t ə m ɨ
ara_stem_32_1,ara_stem_32,go,1,ɨ d o - -
ara_stem_33_1,ara_stem_33,go,1,- t o - -
hix_stem_34_1,hix_stem_34,go,1,ɨ t o - -
wai_stem_35_1,wai_stem_35,go,1,e t o m -
ikp_stem_36_1,ikp_stem_36,go,1,a r a n -
ikp_stem_37_1,ikp_stem_37,go,1,e r o - -
bak_stem_38_1,bak_stem_38,go,1,ɨ t ə - -
mak_stem_39_1,mak_stem_39,go,1,ɨ t ə m ə
car_stem_40_1,car_stem_40,go,1,- t ə m ə
kar_stem_41_1,kar_stem_41,go,1,- t o - -
kar_stem_42_1,kar_stem_42,go,1,- - ɨ ʔ -
yuk_stem_43_1,yuk_stem_43,go,1,- t o - -
yab_stem_44_1,yab_stem_44,go,1,- t ə - -
map_stem_45_1,map_stem_45,go,1,- t ə - -
pan_stem_46_1,pan_stem_46,go,1,- t ə n -
mac_stem_47_1,mac_stem_47,go,1,a t ɨ - -
pem_stem_48_1,pem_stem_48,go,1,e t ə - -
kax_stem_49_1,kax_stem_49,go,1,- t o m o
uxc_stem_50_1,uxc_stem_50,go,1,e t e - -
bak_stem_51_1,bak_stem_51,say,1,k e - - -
bak_stem_52_1,bak_stem_52,say,1,g e - - -
uxc_stem_53_1,uxc_stem_53,say,1,k i - - -
ikp_stem_54_1,ikp_stem_54,say,1,g e - - -
ikp_stem_55_1,ikp_stem_55,say,1,k e - - -
ara_stem_56_1,ara_stem_56,say,1,g e - - -
ara_stem_57_1,ara_stem_57,say,1,k e - - -
hix_stem_58_1,hix_stem_58,say,1,k a s - -
car_stem_59_1,car_stem_59,say,1,k a - - -
apa_stem_60_1,apa_stem_60,say,1,k a ʃ i -
wai_stem_61_1,wai_stem_61,say,1,k a s - -
kax_stem_62_1,kax_stem_62,say,1,k a s - -
tri_stem_63_1,tri_stem_63,say,1,k a - - -
way_stem_64_1,way_stem_64,say,1,k a - i -
aku_stem_65_1,aku_stem_65,say,1,k a - - -
mac_stem_66_1,mac_stem_66,say,1,k a - - -
pem_stem_67_1,pem_stem_67,say,1,k a - - -
kar_stem_68_1,kar_stem_68,say,1,k a - - -
kap_stem_69_1,kap_stem_69,say,1,k a - - -
pan_stem_70_1,pan_stem_70,say,1,k a - - h
kax_stem_71_1,kax_stem_71,go_down,1,- - ɨ h ɨ t o
yuk_stem_72_1,yuk_stem_72,go_down,1,e w u h - t u
hix_stem_73_1,hix_stem_73,go_down,1,- - - h - t o
PWai_stem_74_1,PWai_stem_74,go_down,1,- - - h - t o
wai_stem_75_1,wai_stem_75,go_down,1,- - - h - t o
PPek_stem_76_1,PPek_stem_76,go_down,1,- - ɨ p - t ə
PTar_stem_77_1,PTar_stem_77,go_down,1,- - ɨ p ɨ t ə
car_stem_78_1,car_stem_78,go_down,1,- - e h ɨ t ə
way_stem_79_1,way_stem_79,go_down,1,- - ɨ p - t ə
apa_stem_80_1,apa_stem_80,go_down,1,- - ɨ h - t o
kar_stem_81_1,kar_stem_81,DETRZ,1,o -
kar_stem_81_2,kar_stem_81,CAUS,2,n
kar_stem_81_3,kar_stem_81,go_down,3,- - ɨ ʔ - t o
mak_stem_82_1,mak_stem_82,go_down,1,- - ə ʔ - t ə
kap_stem_83_1,kap_stem_83,go_down,1,- - u ʔ - t ə
