ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Orig_Analyzed_Word,Orig_Gloss,Orig_Translated_Text,Source
ara-123,ara,modebyny,m-odebɨ-nɨ,2SA-come-REC,You came.,,,m-odebɨ-ny,2-DTRZ-vir-PSD.IMD,Você veio,alves2017arara[150]
ara-11,ara,wibyny,w-ibɨ-nɨ,1SA-bathe-REC,I bathed.,,,w-iby-ny,,Eu tomei banho,alves2017arara[150]
ara-124,ara,wygeny,wɨ-ge-nɨ,1SA-say-REC,I said.,,,wy-ge-ny,,Eu disse,alves2017arara[150]
ara-125,ara,witxiny,w-it͡ʃi-nɨ,1SA-be-REC,"I was, lied down.",,,w-itxiny,,,alves2017arara[153]
ara-126,ara,webyny,w-ebɨ-nɨ,1SA-come-REC,I came.,,,w-ebyny,,,alves2017arara[153]
ara-127,ara,wiptongry,w-iptoŋ-rɨ,1SA-go.down-REC,I went down.,,,w-iptongry,,,alves2017arara[153]
ara-128,ara,wydoly,w-ɨdo-lɨ,1SA-go-REC,I went.,,,w-ydoly,,,alves2017arara[153]
kar-84,kar,Òmakon `wa oti ywykàpo kaiko.,o-ʔma-kon	ʔwa	oti	ɨ-wɨ-ka-ʔpo	kai-ko,2-child-PL	OBL	greeting	1-SA-say-PST.NMLZ	say-IMP,Pass my greetings to your children.,,,a-ỳme-kon `wa oti y-(w)yka-`po (w)yka-ko,2-child-pln to greeting 1-say-possuc say-Timp,,courtz2008carib[202]
kar-59,kar,"sipi tynkary mekemanon, hen?",sipi	tɨnka-rɨ	m-ekema-non	hen,net	pull-NMLZ	2SA-be.afraid-PRS.UNCERT	eh?,"You're afraid to pull up the net, aren't you?",,,,,"you are afraid to pull up the net, aren't you?",courtz2008carib[253]
ordpl-35,hix,moro — ha.. ketxkonà — hatà.,moro	ha	ka-jat͡ʃkonɨ	hatɨ,MED.DEM.INAN	INTS	say-REM.CONT.PL	HSY,“That one there” they said.,,,,,,derbyshire1965textos[14]
aku-164,aku,itoka,i-toka,1>3-hit,I hit him/her.,,Variant of *wi-toka*.,,,,gildea1994akuriyo[86]
car-25,car,ëwï ëyimarëne wae,əwɨ	əji-marə-ne	w-a-e,1PRO	2-COM-PL	1-be-NPST,I am with you all.,,,əwɨ əyi-marə-ne w-a-∅-e,1.MIN 1.Sa-AUX.NUF-MIN-IPFV 2-ASOC-AUG,I'm with you (more than one person).,guerrero2016karihona[42]
