ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
car_form_0,car,1_arrive,ji-tuda-,j   i   +   t   u   d   a, Form in source: ji-tuda.,meira1998proto[106]
mak_form_1,mak,1_arrive,w-əʔrɨ-,w   +   ə   ʔ   r   ɨ, Form in source: w-ö’dü-a.,maquiritaricaceres2011[223]
aku_form_2,aku,1_bathe_intr,t͡ʃ-epɨ-,t ͡ ʃ   +   e   +   p   ɨ, Form in source: šeépɨ̀.,gildea1994akuriyo[87]
aku_form_3,aku,1_bathe_intr,t͡ʃ-ehpa-,t ͡ ʃ   +   e   h   p   a, Form in source: šéhpa.,gildea1994akuriyo[87]
ara_form_4,ara,1_bathe_intr,w-ibɨ-,w   +   i   +   b   ɨ, Form in source: w-ibyny.,alves2017arara[153]
ebak_form_6,ebak,1_bathe_intr,w-i-,w   +   i, Form in source: w-i-də.,meira2003bakairi[4]
hix_form_7,hix,1_bathe_intr,k-ewehɨ-,k   +   e   w   e   +   h   ɨ, Form in source: kewehtano.,hixkaryanaderby1985[195]
ikp_form_8,ikp,1_bathe_intr,∅-ip-,∅   +   i   +   p, Form in source: i-p-txi.,ikpengpacheco1997[68]
PPek_form_9,PPek,1_bathe_intr,w-ipɨ-,w   +   i   +   p   ɨ, Form in source: .,
PTir_form_10,PTir,1_bathe_intr,t͡ʃ-epɨ-,t ͡ ʃ   +   e   +   p   ɨ, Form in source: .,
PWai_form_11,PWai,1_bathe_intr,k-eeɸɨ-,k   +   e e   +   ɸ   ɨ,"Werikyana has long e in this verb, assuming the same pattern for Proto-Waiwaian allows reconciling the divergent Waiwai and Hixkaryána forms. Form in source: .",
PXin_form_12,PXin,1_bathe_intr,w-ibɨ-,w   +   i   +   b   ɨ, Form in source: .,
tri_form_13,tri,1_bathe_intr,s-epɨ-,s   +   e   +   p   ɨ, Form in source: s-epï.,triomeira1999[292]
wai_form_14,wai,1_bathe_intr,k-ejeɸu-,k   +   e   j   e   +   ɸ   u, Form in source: k-eyepu.,waiwaihawkins1998[166]
wbak_form_15,wbak,1_bathe_intr,w-i-,w   +   i, Form in source: w-i-tai.,meiraDBwbakairi
aku_form_16,aku,1_be,∅-a-,∅   +   a, Form in source: aʔe.,meira1998proto[115]
aku_form_17,aku,1_be,∅-eʔi-,∅   +   e   ʔ   i, Form in source: e'ine.,meiraDBakuriyo
ara_form_18,ara,1_be,w-it͡ʃi-,w   +   i   t ͡ ʃ   i, Form in source: w-itxiny.,alves2017arara[153]
ara_form_19,ara,1_be,w-ap-,w   +   a   p, Form in source: w-aptam.,alves2017arara[200]
bak_form_20,bak,1_be,w-a(wɨ)-,w   +   a   w   ɨ, Form in source: töre-wakine; wawí-le.,"von1892bakairi[130, 400]"
bak_form_21,bak,1_be,w-i-,w   +   i, Form in source: wí-ta.,von1892bakairi[397]
car_form_22,car,1_be,j-et͡ʃi-,j   +   e   t ͡ ʃ   i, Form in source: ʤeʧi.,guerrero2019carijo[92]
car_form_23,car,1_be,w-a-,w   +   a, Form in source: wae.,meira1998proto[115]
ebak_form_24,ebak,1_be,w-a(wɨ)-,w   +   a   w   ɨ, Form in source: u-a-uɨlɨ; w-akynre.,pinto2022bakairi[111];meiraDBebakairi
ebak_form_25,ebak,1_be,w-i-,w   +   i, Form in source: u-i-dɨlɨ.,pinto2022bakairi[112]
hix_form_26,hix,1_be,w-ah-,w   +   a   h, Form in source: wahko.,hixkaryanaderby1985[197]
hix_form_27,hix,1_be,w-eʃe-,w   +   e   ʃ   e, Form in source: wexeye.,hixkaryanaderby1985[198]
ikp_form_28,ikp,1_be,∅-et͡ʃi-,∅   +   e   t ͡ ʃ   i, Form in source: etʃi.,ikpengpacheco2001[139]
mak_form_30,mak,1_be,w-ei-,w   +   e   i, Form in source: weiya.,maquiritaricaceres2011[292]
PPek_form_31,PPek,1_be,w-ap-,w   +   a   p, Form in source: .,
PPek_form_32,PPek,1_be,w-et͡ʃi-,w   +   e   t ͡ ʃ   i, Form in source: .,
PTir_form_33,PTir,1_be,w-a-,w   +   a, Form in source: .,
