"Meaning_ID","Verb_Cognateset_ID","Language_ID","Inflection","Form","Prefix_Cognateset_ID","Source","Full_Form","Comment"
"come","come","ara","1+2","kud-ebɨ-","kut","alves2017arara[113]","kud-eby-tome",
"come","DETRZ+come","ara",2,"m-od+ebɨ-","2sa","alves2017arara[150]","m-od-eby-ny",
"come","DETRZ+come","ara","IMP","od+ep-ko",,"alves2017arara[150]",,
"dance",,"ara",1,"k-origu-","k","alves2017arara[150]","k-origu-ny",
"dance",,"ara",2,"m-origu-","2sa","alves2017arara[150]","m-origu-ny",
"dance",,"ara",3,"∅-origu",,"alves2017arara[150]","∅-origu-ny",
"dance",,"ara","1+2","kud-origu-","kut","alves2017arara[150]","kud-origu-ny",
"say","say","ara",2,"mɨ-ge-","2sa","alves2017arara[150]","mygen",
"say","say","ara",3,"∅-ke-",,"alves2017arara[150]","kedakpyny",
"say","say","ara","1+2","kut-ke-","kut","alves2017arara[150]","kutkeny",
"bathe_intr","DETRZ1+bathe_1","ara",1,"w-i+bɨ-","1w","alves2017arara[153]","w-ibyny",
"be","be_2","ara",1,"w-it͡ʃi-","1w","alves2017arara[153]","w-itxiny",
"come","come","ara",1,"w-ebɨ-","1w","alves2017arara[153]","w-ebyny",
"go","go","ara",1,"w-ɨdo-","1w","alves2017arara[153]","w-ydoly",
"go","go","ara",3,"∅-ɨdo-",,"alves2017arara[153]","ydoly",
"go_down","go_down+?","ara",1,"w-ipto+ŋ-","1w","alves2017arara[153]","w-iptongry",
"say","say","ara",1,"wɨ-ge-","1w","alves2017arara[153]","wy-geny",
"come","come","ara",3,"t-ebɨ-",,"alves2017arara[156]","tebyny",
"be","be_1","ara",1,"w-ap-","1w","alves2017arara[200]","w-aptam",
"come","come","ara","PTCP","to-ep-te",,"alves2017arara[207]",,
"go","go","ara","1+2","ku-to-","kut","alves2017arara[74]","kuton",
"say","say","way","PTCP","tɨ-ka-i",,"camargo2010wayana[65]",,
"say","say","way","IMP","kai-kə",,"camargo2010wayana[66]",,
"come","DETRZ+come","ikp","1+2","kut-ar+ep-","kut","chagas2013verbo[205]","kut-arep-lï",
"go_down","go_down","hix",1,"?-hto-","?","derbyshire1965textos[45]","náhtoye","Full form is third person."
"yawn",,"aku",1,"t͡ʃ-entapo-","1t","gildea1994akuriyo[77]","šentapoe",
"stay_back",,"aku",1,"t͡ʃ-ekɨrɨka-","1t","gildea1994akuriyo[79]","šekɨ́ɨrɨka",
"learn",,"aku",1,"k-əempa-","k","gildea1994akuriyo[82]","kə̀ém̀pà",
"go_down","go_down","aku",1,"p-ɨtə-","tri1p","gildea1994akuriyo[84]","pɨ́ɨ̀ʔtəpa",
"lie_down",,"aku",1,"t͡ʃ-etonema-","1t","gildea1994akuriyo[84]","šetóòʔnema",
"sit_down",,"aku",1,"t͡ʃ-ewai-","1t","gildea1994akuriyo[84]","čewaiʔne",
"tremble",,"aku",1,"k-əiwa-","k","gildea1994akuriyo[84]","kéìʔwai",
"run",,"aku",1,"k-ətajiŋka-","k","gildea1994akuriyo[85]","kə̀táyiŋkae",
"cry",,"aku",1,"k-əət͡ʃena-","k","gildea1994akuriyo[86]","kə́ə̀čena",
"talk",,"aku",1,"k-əturu-","k","gildea1994akuriyo[86]","kə̀túùrú",
"bathe_intr","DETRZ1+bathe_1","aku",1,"t͡ʃ-e+pɨ-","1t","gildea1994akuriyo[87]","šeépɨ̀",
"bathe_intr",,"aku",1,"t͡ʃ-ehpa-","1t","gildea1994akuriyo[87]","šéhpa",
"bathe_intr","DETRZ1+bathe_1","aku",2,"m-e+pɨ-","2sa","gildea1994akuriyo[87]","méèpɨ̀",
"bathe_intr","DETRZ1+bathe_1","aku",3,"n-e+pɨ-","3sa","gildea1994akuriyo[87]","néèʔpɨ",
"bathe_intr","DETRZ1+bathe_1","aku","1+2","ke-e+pɨ-","kut","gildea1994akuriyo[87]","kéèpɨ",
