"Language_ID","Form","Meaning","Source","Full_Form","Cognateset_ID"
"ara","wɨna","DAT","alves2017arara[143]",,"dat_pek"
"ikp","ɨna","DAT","ikpengpacheco2001[164]",,"dat_pek"
"ara","wokori","dog","desouza2010arara[9]",,"dog_1"
"ara","tawe","capuchin monkey","desouza2010arara[9]",,"capuchin"
"ikp","tae","capuchin monkey","ikpengpacheco2001[21]",,"capuchin"
"ara","wɨnkɨ","to sleep","souza1993arara[70]","o-wyngy-∅","sleep"
"ikp","ɨnkɨ","to sleep","campetela1997analise[40]","y-ɨnkɨ-t","sleep"
"ikp","okari","dog","ikpengpacheco1997[41]",,"dog_1"
"ikp","anma","path","ikpengpacheco2001[284]",,"path"
"ebak","ə̃wã","path","pinto2022bakairi[28]",,"path"
"ara","enma","path","desouza2010arara[96]",,"path"
"ara","onma","path","desouza2010arara[96]",,"path"
"ara","anma","path","desouza1988arara[38]",,"path"
"ikp","anep","to bring","ikpengpacheco2001[82]",,"bring"
"ara","enebɨ","to bring","alves2017arara[172]",,"bring"
"ebak","ene","to bring","meira2005southern[184]",,"bring"
"ara","jej","tree","alves2017arara[187]",,"tree-y"
"ikp","jaj","tree","ikpengpacheco2001[98]",,"tree-y"
"ebak","se","tree","meira2005southern[180]",,"tree-y"
"ikp","arɨ","what","ikpengpacheco2001[267]",,"what"
"ara","odɨ","what","alves2017arara[131]",,"what"
"ebak","ədɨ","what","pinto2022bakairi[102]",,"what"
"ikp","akari","dog","ikpengpacheco2001[21]",,"dog_1"
