"Language_ID","Meaning","Person","Form","Source"
"bak","to go up","1S_A_","k-əku-","meira2003bakairi[4]"
"bak","to go up","2S_A_","m-əku-","meira2003bakairi[4]"
"bak","to go up","1+2S_A_","kɨd-əku-","meira2003bakairi[4]"
"bak","to go up","3S_A_","n-əku-","meira2003bakairi[4]"
"ara","to dance","1S_A_","k-origu-","alves2017arara[150]"
"ara","to dance","2S_A_","m-origu-","alves2017arara[150]"
"ara","to dance","1+2S_A_","kud-origu-","alves2017arara[150]"
"ara","to dance","3S_A_","∅-origu-","alves2017arara[150]"
"ikp","to run","1S_A_","k-aranme-","ikpengpacheco2001[52]"
"ikp","to run","2S_A_","m-aranme-","ikpengpacheco2001[52]"
"ikp","to run","1+2S_A_","kw-aranme-","ikpengpacheco2001[52]"
"ikp","to run","3S_A_","∅-aranme-","ikpengpacheco2001[52]"
