"Verb","Language_ID","Form","Source","Cognateset_ID","Comments"
"come","mac","ipɨ","macushiabbott1991[32]",1,
"come","pem","jepɨ","alvarez2000construcciones[102]",1,
"come","aka","jepɨ","akawaiocaesar2003[125]",1,
"come","ing","jepə","cruz2005fonologia[415]",1,
"come","ing","jə","cruz2005fonologia[299]",1,
"come","kax","johɨ","pc[Spike Gildea]",1,
"come","pat","jəpɨ","pc[Spike Gildea]",1,
"come","pat","jepɨ","pc[Spike Gildea]",1,
"come","mak","ehə","maquiritaricaceres2011[438]",3,
"come","car","ehɨ","robayo2000avance[178]",3,
"come","aku","epɨ","meira1998proto[168]",3,
"come","map","epɨ","muller1975mapoyo[74]",3,
"come","kax","ehɨ","pc[Spike Gildea]",3,
"come","tri","epɨ","triomeira1999[294]",3,
"come","ara","ebɨ","alves2017arara[150]",3,
"come","apa","oepɨ","koehn1986apalai[37]",4,
"come","tri","əepɨ","triomeira1999[294]",4,
"come","ikp","arep","ikpengpacheco2001[265]",4,
"come","ara","odebɨ","alves2017arara[150]",4,
"come","aka","əsipɨ","stegeman2014akawaio[160]",4,
"come","bak","əewɨ","meira2003bakairi[4]",4,
"come","pan","əpɨ","panarepayne2013[65]",2,
"come","yab","əpɨ","mendez1959yawarana[68]",2,
"come","kar","opɨ","courtz2008carib[429]",2,
"come","uxc","ee","meira2005southern[182]",2,
"come","kax","oohɨ","pc[Spike Gildea]",2,
"go","ing","ətə","cruz2005fonologia[291]",1,
"go","tri","tə(n)","triomeira1999[292]",1,
"go","way","(ɨ)tə(m)","wayanatavares2005[195]",1,
"go","aku","(ə)tə(mɨ)","meira1998proto[112]; gildea1994akuriyo[87]",1,
"go","ara","ɨdo/to","alves2017arara[74, 153]",1,
"go","hix","(ɨ)to","hixkaryanaderby1985[27, 248]",1,
"go","wai","(e)to(m)","waiwaihawkins1998[45, 62]",1,
"go","ikp","aran; ero","ikpengpacheco2001[54, 80]",1,
"go","bak","(ɨ)tə","von1892bakairi[112, 374]",1,
"go","mak","ɨtə(mə)","maquiritaricaceres2011[181, 216]",1,
"go","car","təmə","meira1998proto[112]",1,
"go","kar","to; (ɨ)ʔ","hoff1968carib[168]",1,
"go","yuk","to","meira2006syntactic[139]",1,
"go","yab","tə","caceres2018yawarana[4]",1,
"go","map","tə","muller1975mapoyo[74]",1,"wɨs-tə-ri. I interpret wɨs- as an allomorph of wɨhɨ ‘1’. /s/ becomes /h/ intervocalically in Mapoyo."
"go","pan","tə(n)","mattei1994diccionario[198]",1,
"go","mac","(a)tɨ","macushiabbott1991[48, 50]",1,
"go","pem","(e)tə","garcia2006diccionario[172]",1,
"go","kax","to(mo); ti","pc[Spike Gildea]",1,
"go","uxc","(e)te","franchetto2002kuikuro[6]",1,
"say","bak","ge; ke","meira2003bakairi[4]; meira2005bakairi[297]",1,
"say","uxc","ki","franchetto2008absolutivo[48]",1,
"say","ikp","ge; ke","ikpengpacheco2001[209]",1,
"say","ara","ge; ke","alves2017arara[153]",1,
"say","hix","ka(h)","hixkaryanaderby1985[182]",1,
"say","car","ka","meira1998proto[113]",1,
"say","apa","ka","camargo2002lexico[51]",1,
"say","wai","ka(s)","waiwaihawkins1998[26]",1,
"say","kax","ka(s)","pc[Spike Gildea]",1,
"say","tri","ka","meira1998proto[113]",1,
"say","way","ka","camargo2010wayana[66]",1,
"say","aku","ka","meira1998proto[113]",1,
"say","mac","ka","macushiabbott1991[59]",1,
"say","pem","ka","swiggers2010gramatica[123]",1,
"say","kar","ka","courtz2008carib[430]",1,
"say","kap","ka","akawaiocaesar2003[125]",1,
"say","pan","ka(h)","mattei1994diccionario[102]",1,
