Language_ID,Form,Source,,,,,,,
mac,ipɨ,macushiabbott1991[32],,,-,,i,p,ɨ
pem,jepɨ,alvarez2000construcciones[102],,,-,j,e,p,ɨ
aka,jepɨ,akawaiocaesar2003[125],,,-,j,e,p,ɨ
ing,jepə,cruz2005fonologia[415],,,-,j,e,p,ə
ing,jə,cruz2005fonologia[299],,,-,j,ə,,
kax,johɨ,pc[Spike Gildea],,,-,j,o,h,ɨ
pat,jəpɨ,pc[Spike Gildea],,,-,j,ə,p,ɨ
pat,jepɨ,pc[Spike Gildea],,,-,j,e,p,ɨ
mak,ehə,maquiritaricaceres2011[438],,,-,,e,h,ə
car,ehɨ,robayo2000avance[178],,,-,,e,h,ɨ
aku,eepɨ,meira1998proto[168],,,-,,ee,p,ɨ
map,epɨ,muller1975mapoyo[74],,,-,,e,p,ɨ
kax,ehɨ,pc[Spike Gildea],,,-,,e,h,ɨ
tri,epɨ,triomeira1999[294],,,-,,e,p,ɨ
ara,ebɨ,alves2017arara[150],,,-,,e,b,ɨ
apa,oepɨ,koehn1986apalai[37],o,,-,,e,p,ɨ
tri,əepɨ,triomeira1999[294],ə,,-,,e,p,ɨ
ikp,arep,ikpengpacheco2001[265],a,r,-,,e,p,
ara,odebɨ,alves2017arara[150],o,d,-,,e,b,ɨ
aka,əsipɨ,stegeman2014akawaio[160],ə,s,-,,i,p,ɨ
bak,əewɨ,meira2003bakairi[4],ə,,-,,e,w,ɨ
pan,əpɨ,panarepayne2013[65],,,-,,ə,p,ɨ
yab,əpɨ,mendez1959yawarana[68],,,-,,ə,p,ɨ
kar,opɨ,courtz2008carib[429],,,-,,o,p,ɨ
uxc,ee,meira2005southern[182],,,-,,ee,,
kax,oohɨ,pc[Spike Gildea],,,-,,oo,h,ɨ
