Language,Form,,,,,,,
Werikyana,o[o]hɨ,,,,,oo,h,ɨ
Werikyana,johɨ,,,,j,o,h,ɨ
Werikyana,ehɨ,,,,,e,h,ɨ
Proto-Pekodian,epɨ,,,,,e,p,ɨ
Proto-Pekodian,ədepɨ,ə,d,-,,e,p,ɨ
Arara,ep,,,,,e,p,
Arara,odebɨ,o,d,-,,e,b,ɨ
Arara,ebɨ,,,,,e,b,ɨ
Ikpeng,arep,a,r,-,,e,p,
Bakairi,əewɨ,ə,,-,,e,w,ɨ
Proto-Tiriyoan,əʔepɨ,ə,ʔ,-,,e,p,ɨ
Proto-Tiriyoan,epɨ,,,,,e,p,ɨ
Tiriyó,epɨ,,,,,e,p,ɨ
Tiriyó,əe[pɨ],ə,,-,,e,p,ɨ
Akuriyó,eepɨ,,,,,ee,p,ɨ
Karijona,eh[ɨ],,,,,e,h,ɨ
Apalaí,oepɨ,o,,-,,e,p,ɨ
Kari'ña,opɨ,,,,,o,p,ɨ
Ye'kwana,ehə,,,,,e,h,ə
Akawaio,jepɨ,,,,j,e,p,ɨ
Akawaio,əsipɨ,ə,s,-,,i,p,ɨ
Ingarikó,jepə,,,,j,e,p,ə
Ingarikó,jə,,,,j,ə,,
Patamona,jəpɨ,,,,j,ə,p,ɨ
Patamona,jepɨ,,,,j,e,p,ɨ
Pemón,jepɨ,,,,j,e,p,ɨ
Panare,əpɨ,,,,,ə,p,ɨ
Yawarana,əpɨ,,,,,ə,p,ɨ
Mapoyo,epɨ,,,,,e,p,ɨ
Upper Xingu Carib,ee,,,,,ee,,
