Language,Form,,,,,
Werikyana,to[mo],,t,o,m,o
Proto-Waiwaian,[ɨ]to[m],ɨ,t,o,m,
Hixkaryána,[ɨ]to,ɨ,t,o,,
Waiwai,[e]to[m],e,t,o,m,
Proto-Pekodian,ɨtə[n],ɨ,t,ə,n,
Arara,to,,t,o,,
Arara,ɨdo,ɨ,d,o,,
Ikpeng,aran,a,r,a,n,
Ikpeng,ero,e,r,o,,
Bakairi,[ɨ]tə,ɨ,t,ə,,
Proto-Tiriyoan,[ə]tə[mɨ],ə,t,ə,m,ɨ
Tiriyó,tə[n],,t,ə,n,
Akuriyó,[ə]tə[mɨ],ə,t,ə,m,ɨ
Karijona,tə[mə],,t,ə,m,ə
Wayana,[ɨ]tə[m],ɨ,t,ə,m,
Apalaí,ɨto,ɨ,t,o,,
Kari'ña,[ɨ]ʔ,ɨ,ʔ,,,
Kari'ña,to,,t,o,,
Ye'kwana,ɨtə[mə],ɨ,t,ə,m,ə
Ingarikó,ətə,ə,t,ə,,
Pemón,[e]tə,e,t,ə,,
Macushi,[a]tɨ,a,t,ɨ,,
Panare,tə[n],,t,ə,n,
Yawarana,tə,,t,ə,,
Mapoyo,tə,,t,ə,,
Upper Xingu Carib,[e]te,e,t,e,,
Yukpa,to,,t,o,,
Waimiri-Atroari,ɨʔ,ɨ,ʔ,,,
