Language_ID,Form,Class,,,,,,,,,,,,
PPar,ɨɸɨto,S_P_,,,,,ɨ,ɸ,ɨ,t,o,,,
kax,ɨhɨto,S_P_,,,,,ɨ,h,ɨ,t,o,,,
hix,hto,?,,,,,,h,,t,o,,,
wai,hto,–,,,,,,h,,t,o,,,
PPek,ɨptə,S_A_,,,,,ɨ,p,,t,ə,,,
ara,iptoŋ,S_A_,,,,,i,p,,t,o,-,ŋ,
ikp,iptoŋ,?,,,,,i,p,,t,o,-,ŋ,
bak,ɨtəgɨ,S_A_,,,,,ɨ,,,t,ə,-,g,ɨ
PTir,ɨhtə,S_A_,,,,,ɨ,h,,t,ə,,,
tri,ɨhtə,S_A_,,,,,ɨ,h,,t,ə,,,
aku,ɨhtə,S_A_,,,,,ɨ,h,,t,ə,,,
car,ehɨtə,–,,,,,e,h,ɨ,t,ə,,,
way,ɨptə,S_A_ / S_P_,,,,,ɨ,p,,t,ə,,,
apa,ɨhto,S_P_,,,,,ɨ,h,,t,o,,,
kar,onɨʔto,(S_A_),o,-,n,-,ɨ,ʔ,,t,o,,,
mak,əʔtə,S_P_,,,,,ə,ʔ,,t,ə,,,
kap,(uʔtə),–,,,,,,,,,,,,
pem,(uʔtə),–,,,,,,,,,,,,
mac,(autɨ),–,,,,,,,,,,,,
pan,əhtə,S_A_,,,,,ə,h,,t,ə,,,
yab,əhtə,–,,,,,ə,h,,t,ə,,,
yuk,(ewuhtu),–,,,,,,,,,,,,
wmr,ɨtɨ,–,,,,,ɨ,,,t,ɨ,,,
