Language,Form,,,,
Werikyana,ka[s],k,a,s,
Proto-Waiwaian,ka[s],k,a,s,
Hixkaryána,ka[s],k,a,s,
Waiwai,ka[s],k,a,s,
Proto-Pekodian,ge,g,e,,
Proto-Pekodian,ke,k,e,,
Arara,ge,g,e,,
Arara,ke,k,e,,
Ikpeng,ge,g,e,,
Ikpeng,k[e],k,e,,
Bakairi,ke,k,e,,
Bakairi,ge,g,e,,
Proto-Tiriyoan,ka,k,a,,
Tiriyó,ka,k,a,,
Akuriyó,ka,k,a,,
Karijona,ka,k,a,,
Wayana,ka[i],k,a,,i
Apalaí,ka[ʃi],k,a,ʃ,i
Kari'ña,ka,k,a,,
Kapón,ka,k,a,,
Pemón,ka,k,a,,
Macushi,ka,k,a,,
Panare,ka[h],k,a,h,
Upper Xingu Carib,ki,k,i,,
Yukpa,ka,k,a,,
